    0::[ADC-0]: 148      (0x94)
   10::[ADC-1]: 2291     (0x8F3)
   20::[ADC-0]: 78       (0x4E)
   30::[ADC-1]: 2052     (0x804)
   40::[ADC-0]: 115      (0x73)
   50::[ADC-1]: 519      (0x207)
   60::[ADC-0]: 222      (0xDE)
   70::[ADC-1]: 3124     (0xC34)
   80::[ADC-0]: 154      (0x9A)
   90::[ADC-1]: 920      (0x398)
  100::[ADC-0]: 72       (0x48)
  110::[ADC-1]: 814      (0x32E)
  120::[ADC-0]: 34       (0x22)
  130::[ADC-1]: 2854     (0xB26)
  140::[ADC-0]: 195      (0xC3)
  150::[ADC-1]: 1882     (0x75A)
  160::[ADC-0]: 48       (0x30)
  170::[ADC-1]: 3030     (0xBD6)
  180::[ADC-0]: 223      (0xDF)
  190::[ADC-1]: 1111     (0x457)
  200::[ADC-0]: 312      (0x138)
  210::[ADC-1]: 3294     (0xCDE)
  220::[ADC-0]: 180      (0xB4)
  230::[ADC-1]: 2222     (0x8AE)
  240::[ADC-0]: 95       (0x5F)
  250::[ADC-1]: 2661     (0xA65)
  260::[ADC-0]: 240      (0xF0)
  270::[ADC-1]: 3333     (0xD05)
  280::[ADC-0]: 112      (0x70)
  290::[ADC-1]: 800      (0x320)
  300::[ADC-0]: 165      (0xA5)
  310::[ADC-1]: 1648     (0x670)
