0::[ADC-0]: 1500     (0x5DC)
   50::[ADC-3]: 950      (0x3B6)
   80::[ADC-7]: 670      (0x29E)
  100::[ADC-1]: 2450     (0x992)
  100::[ADC-5]: 2650     (0xA5A)
  110::[ADC-0]: 1520     (0x5F0)
  120::[ADC-3]: 980      (0x3D4)
  120::[ADC-6]: 3400     (0xD48)
  150::[ADC-0]: 1700     (0x6AC)
  150::[ADC-4]: 1340     (0x53C)
  180::[ADC-6]: 3350     (0xD1E)
  180::[ADC-0]: 1530     (0x5FA)
  200::[ADC-2]: 3100     (0xC1C)
  200::[ADC-6]: 3220     (0xC9C)
  210::[ADC-1]: 2420     (0x974)
  220::[ADC-4]: 1350     (0x546)
  250::[ADC-1]: 2200     (0x898)
  250::[ADC-5]: 2660     (0xA64)
  280::[ADC-1]: 2410     (0x96A)
  280::[ADC-7]: 650      (0x286)
  300::[ADC-3]: 890      (0x37A)
  300::[ADC-7]: 710      (0x2C6)
  310::[ADC-2]: 3080     (0xC08)
  320::[ADC-5]: 2680     (0xA78)
  350::[ADC-2]: 2800     (0xAF0)
  350::[ADC-6]: 3260     (0xCC4)
  380::[ADC-0]: 1600     (0x640)
  380::[ADC-2]: 3060     (0xBF4)
  400::[ADC-4]: 1250     (0x4E2)
  410::[ADC-3]: 900      (0x384)
  420::[ADC-6]: 3280     (0xCD8)
  450::[ADC-3]: 1050     (0x41A)
  450::[ADC-7]: 700      (0x2BC)
  480::[ADC-1]: 2330     (0x91A)
  480::[ADC-3]: 910      (0x38E)
  500::[ADC-5]: 2780     (0xADC)
  510::[ADC-4]: 1280     (0x500)
  520::[ADC-7]: 690      (0x2B2)
  550::[ADC-0]: 1590     (0x636)
  550::[ADC-4]: 1450     (0x5AE)
  580::[ADC-1]: 2290     (0x8F6)
  580::[ADC-4]: 1290     (0x50A)
  600::[ADC-6]: 3400     (0xD48)
  610::[ADC-5]: 2750     (0xABC)
  620::[ADC-0]: 1550     (0x60E)
  650::[ADC-1]: 2380     (0x94C)
  650::[ADC-5]: 2550     (0x9F6)
  680::[ADC-3]: 960      (0x3C0)
  680::[ADC-5]: 2740     (0xAB4)
  700::[ADC-7]: 620      (0x26C)
  710::[ADC-6]: 3380     (0xD3C)
  720::[ADC-1]: 2400     (0x960)
  750::[ADC-2]: 3010     (0xBB6)
  750::[ADC-6]: 3150     (0xC4E)
  780::[ADC-4]: 1360     (0x550)
  780::[ADC-6]: 3360     (0xD28)
  800::[ADC-0]: 1620     (0x654)
  810::[ADC-7]: 630      (0x276)
  820::[ADC-2]: 3050     (0xBEE)
  850::[ADC-3]: 930      (0x3A2)
  850::[ADC-7]: 750      (0x2EE)
  880::[ADC-5]: 2630     (0xA46)
  880::[ADC-7]: 640      (0x280)
  900::[ADC-1]: 2310     (0x906)
  910::[ADC-0]: 1610     (0x64A)
  920::[ADC-3]: 920      (0x398)
  950::[ADC-0]: 1650     (0x672)
  950::[ADC-4]: 1320     (0x528)
  980::[ADC-6]: 3200     (0xC80)
  980::[ADC-0]: 1630     (0x65E)
 1000::[ADC-2]: 2950     (0xB86)
 1010::[ADC-1]: 2320     (0x910)
 1020::[ADC-4]: 1300     (0x514)
 1050::[ADC-1]: 2350     (0x92E)
 1050::[ADC-5]: 2700     (0xA8C)
 1080::[ADC-7]: 720      (0x2D0)
 1080::[ADC-1]: 2300     (0x8FC)
 1100::[ADC-2]: 2960     (0xB90)
 1110::[ADC-2]: 2960     (0xB90)
 1120::[ADC-5]: 2730     (0xAAA)
 1150::[ADC-2]: 2900     (0xB54)
 1150::[ADC-6]: 3300     (0xCE4)
 1180::[ADC-2]: 2940     (0xB7C)
